ID,חברה,מס' אתר,עיר,כתובת האתר,רשות מקומית,תחום שיפוט,X_ITM,Y_ITM,סוג אתר,תאריך היתר הקמה,תאריך היתר הפעלה,בדיקה תקופתית אחרונה בתוקף לשנה,היתר קרינה,עוצמת הקרינה,תוצאה מירבית ב% ביחס לסף הבריאות,תאור נקודה בה התקבלה תוצאה מירבית,קובץ הקמה,קובץ הפעלה,area
1,פי.אייץ`.איי. נטוורקס,IN4984A,חיפה,מעבדות IBM,עירית חיפה,חיפה,201710,741153,אתר זעיר פנימי,31/01/2010,25/05/2017,2019-10-02 00:00:00,יש היתר,23.9,2.96,מפלס הקרקע,,http://documents.sviva.gov.il/B002_1_IN4984A_20120612_0936.pdf,
2,פי.אייץ`.איי. נטוורקס,IN4986B,נצרת,הר הקפיצה נצרת רחוב 2015,עירית נצרת,נצרת,227717,731862,אתר זעיר פנימי,16/09/2013,21/12/2017,13/01/2019,אין היתר,42.256,6.784,מפלס הרצפה,http://documents.sviva.gov.il/B001_1_IN4986B_20130916_0940.pdf,http://documents.sviva.gov.il/B002_1_IN4986B_20171221_0941.pdf,730045
3,פי.אייץ`.איי. נטוורקס,IN4987D,חיפה,שדרות הציונות 80,עירית חיפה,חיפה,199313,746338,אתר זעיר פנימי,2015-04-06 00:00:00,21/05/2019,15/05/2019,יש היתר,27.71,2.544,במפלס הרצפה מול אנטנה כלל כיוונית במרחק 0.6 מטר ממנה.,http://documents.sviva.gov.il/B001_1_IN4987D_20150604_1114.pdf,http://documents.sviva.gov.il/B002_1_IN4987D_20190521_1220.pdf,4000621
4,פי.אייץ`.איי. נטוורקס,IN4992A,יקנעם עילית,מפעל אסם,מ.מקומית יקנעם עילית,יוקנעם עילית,209501,729311,אתר זעיר פנימי,16/09/2013,27/06/2017,14/04/2019,יש היתר,40.801,7.364,מפלס הרצפה,http://documents.sviva.gov.il/B001_1_IN4992A_20130916_0942.pdf,http://documents.sviva.gov.il/B002_1_IN4992A_20131014_1048.pdf,
5,פי.אייץ`.איי. נטוורקס,IN4996A,נצרת,בית חולים אנגלי,עירית נצרת,נצרת,227645,734136,אתר זעיר פנימי,25/07/2013,27/06/2017,2019-07-05 00:00:00,יש היתר,36.267,6.076,מפלס הרצפה,http://documents.sviva.gov.il/B001_1_IN4996A_20130724_1122.pdf,http://documents.sviva.gov.il/B002_1_IN4996A_20131127_1340.pdf,730035
6,פי.אייץ`.איי. נטוורקס,IN6412F,עמק חפר,גשר העץ 11  אזור תעשיה,מ.א עמק חפר,מפעלי חפר,190677,701216,אתר זעיר פנימי,16/06/2015,2020-11-02 00:00:00,2020-03-02 00:00:00,יש היתר,34.296,4.851,במפלס הרצפה מול אנטנה כלל כיוונית במרחק 0.5 מטר ממנה.,http://documents.sviva.gov.il/B001_1_IN6412F_20150616_1009.pdf,http://documents.sviva.gov.il/B002_1_IN6412F_20200211_1754.pdf,
7,פי.אייץ`.איי. נטוורקס,IN6423B,קרית אתא,מקור ברוך 7,עירית קרית אתא,קרית אתא,209972,745450,אתר זעיר פנימי,2014-12-11 00:00:00,18/10/2017,2019-10-07 00:00:00,יש היתר,40.234,6.332,מפלס הרצפה,http://documents.sviva.gov.il/B001_1_IN6423B_20141112_1525.pdf,http://documents.sviva.gov.il/B002_1_IN6423B_20151117_0959.pdf,680025
8,פי.אייץ`.איי. נטוורקס,IN6427B,נתניה,א.ת. פולג,עירית נתניה,נתניה,187100,686740,אתר זעיר פנימי,22/10/2014,18/07/2018,18/06/2019,יש היתר,41.568,6.785,מפלס הרצפה,http://documents.sviva.gov.il/B001_1_IN6427B_20141022_1128.pdf,http://documents.sviva.gov.il/B002_1_IN6427B_20180718_1318.pdf,
9,פי.אייץ`.איי. נטוורקס,IN6448C,מגדל העמק,שדרות שאול עמור,עירית מגדל העמק,מגדל העמק,223644,732613,אתר זעיר פנימי,13/06/2013,26/09/2017,18/08/2019,יש היתר,35.302,5.942,במפלס הרצפה,http://documents.sviva.gov.il/B001_1_IN6448C_20130616_0735.pdf,http://documents.sviva.gov.il/B002_1_IN6448C_20131201_1116.pdf,
10,פי.אייץ`.איי. נטוורקס,IN6450B,נתניה,המלאכה 6,עירית נתניה,נתניה,186809,687159,אתר זעיר פנימי,26/02/2013,2017-11-12 00:00:00,20/11/2019,יש היתר,30.694,5.609,מפלס הרצפה,http://documents.sviva.gov.il/B001_1_IN6450B_20130226_0906.pdf,http://documents.sviva.gov.il/B002_1_IN6450B_20171211_1021.pdf,
11,פי.אייץ`.איי. נטוורקס,IN6453A,נתניה,המלאכה 32 א.ת. דרומי,עירית נתניה,נתניה,186878,688060,אתר זעיר פנימי,2013-03-06 00:00:00,27/08/2019,19/08/2019,יש היתר,36.88,6.214,במפלס הרצפה,http://documents.sviva.gov.il/B001_1_IN6453A_20130603_1037.pdf,http://documents.sviva.gov.il/B002_1_IN6453A_20190827_0906.pdf,7400511
12,פי.אייץ`.איי. נטוורקס,IN6461C,נתניה,רח` המחשב 2,עירית נתניה,נתניה,187391,688377,אתר זעיר פנימי,2015-03-05 00:00:00,15/07/2018,19/06/2019,יש היתר,37.575,6.706,מפלס הרצפה,http://documents.sviva.gov.il/B001_1_IN6461C_20150503_0937.pdf,http://documents.sviva.gov.il/B002_1_IN6461C_20180715_1400.pdf,
13,פי.אייץ`.איי. נטוורקס,IN6464E,נתניה,רח` הגביש 10  בית קיקה לשעבר,עירית נתניה,נתניה,187188,688459,אתר זעיר פנימי,29/04/2014,2018-03-10 00:00:00,2019-09-07 00:00:00,יש היתר,39.304,6.034,מפלס הרצפה,http://documents.sviva.gov.il/B001_1_IN6464E_20140429_1122.pdf,http://documents.sviva.gov.il/B002_1_IN6464E_20181003_1158.pdf,
14,פי.אייץ`.איי. נטוורקס,IN6465B,נתניה,שדרות בן עמי 10,עירית נתניה,נתניה,185608,690922,אתר זעיר פנימי,2015-08-02 00:00:00,18/09/2019,2019-05-09 00:00:00,יש היתר,20.247,3.933,מפלס הרצפה,http://documents.sviva.gov.il/B001_1_IN6465B_20150208_1120.pdf,http://documents.sviva.gov.il/B002_1_IN6465B_20190918_1358.pdf,
15,פי.אייץ`.איי. נטוורקס,JC1001A,ירושלים,האומן 27,עירית ירושלים,ירושלים,219688,628512,תורן על הגג,29/10/2018,14/01/2019,16/12/2019,יש היתר,5.92,1.08,רמה זו צפויה ברח` האומן 25  מבנה משרדים קומה 3 במרחק 19 מטר,http://documents.sviva.gov.il/B001_1_JC1001A_20181029_1745.pdf,http://documents.sviva.gov.il/B002_1_JC1001A_20190114_1408.pdf,
16,פי.אייץ`.איי. נטוורקס,JC1009A,ירושלים,דרך חברון 31,עירית ירושלים,ירושלים,221524,630414,אנטנת עוקץ,19/08/2014,18/12/2017,2019-06-10 00:00:00,יש היתר,25.72,2.97,מבנה,http://documents.sviva.gov.il/B001_1_JC1009A_20140819_0938.pdf,http://documents.sviva.gov.il/B002_1_JC1009A_20171218_0930.pdf,30001332
17,פי.אייץ`.איי. נטוורקס,JC1010B,ירושלים,תחנת דלק שד` הרצל,עירית ירושלים,ירושלים,217659,631667,תורן על הגג,21/11/2018,14/01/2019,2019-02-12 00:00:00,יש היתר,55.21,7.86,הסביבה. רמה זו צפויה ברח` תרצה 4  מבנה מגורים מרפסת גג במרחק 43 מטר,http://documents.sviva.gov.il/B001_1_JC1010B_20181121_0839.pdf,http://documents.sviva.gov.il/B002_1_JC1010B_20190114_1525.pdf,30001011
18,פי.אייץ`.איי. נטוורקס,JC1011D,ירושלים,שלומציון המלכה,עירית ירושלים,ירושלים,221136,631811,מתקן גישה אלחוטי,23/05/2016,2018-10-06 00:00:00,2019-04-04 00:00:00,יש היתר,18.94,2.19,בביטוח לאומי במרחק 28.5 מטר,http://documents.sviva.gov.il/B001_1_JC1011D_20160807_1410.pdf,http://documents.sviva.gov.il/B002_1_JC1011D_20180610_1123.pdf,
19,פי.אייץ`.איי. נטוורקס,JC1012C,ירושלים,שטראוס,עירית ירושלים,ירושלים,220787,632433,תורן על הגג,17/08/2014,2017-02-11 00:00:00,2019-01-08 00:00:00,יש היתר,33.17,7.02,מבנה,http://documents.sviva.gov.il/B001_1_JC1012C_20140817_0757.pdf,http://documents.sviva.gov.il/B002_1_JC1012C_20150201_1009.pdf,3000841
20,פי.אייץ`.איי. נטוורקס,JC1017B,ירושלים,ג`יימס פיין מלכי ישראל 36,עירית ירושלים,ירושלים,220175,633218,תורן על הגג,15/02/2015,2016-03-08 00:00:00,2020-09-02 00:00:00,יש היתר,24.98,2.99,קומה עליונה,http://documents.sviva.gov.il/B001_1_JC1017B_20150215_1054.pdf,http://documents.sviva.gov.il/B002_1_JC1017B_20160803_1039.pdf,
21,פי.אייץ`.איי. נטוורקס,JC1018B,ירושלים,"מד""א המ""ג 7",עירית ירושלים,ירושלים,219001,633182,אנטנת עוקץ,2014-03-08 00:00:00,18/10/2017,2019-02-09 00:00:00,יש היתר,37.8,4.86,מבנה,http://documents.sviva.gov.il/B001_1_JC1018B_20140803_1008.pdf,http://documents.sviva.gov.il/B002_1_JC1018B_20150201_1010.pdf,3000915
22,פי.אייץ`.איי. נטוורקס,JC1020B,ירושלים,המלך ג`ורג` 58,עירית ירושלים,ירושלים,220649,631443,אנטנת עוקץ,17/04/2016,2020-04-02 00:00:00,2020-01-01 00:00:00,יש היתר,21.79,4.63,במלון המלכים רח` קינג ג`ורג` 60 קומה 7 במרחק 9 מטר,http://documents.sviva.gov.il/B001_1_JC1020B_20160713_1747.pdf,http://documents.sviva.gov.il/B002_1_JC1020B_20200204_1534.pdf,
23,פי.אייץ`.איי. נטוורקס,JC1022H,ירושלים,אגריפס 111,עירית ירושלים,ירושלים,220167,632356,תורן קרקעי,2014-08-12 00:00:00,16/11/2017,2019-04-11 00:00:00,יש היתר,54.5,6.34,מבנה,http://documents.sviva.gov.il/B001_1_JC1022H_20141208_1028.pdf,http://documents.sviva.gov.il/B002_1_JC1022H_20171116_1344.pdf,3000855
24,פי.אייץ`.איי. נטוורקס,JC1023A,ירושלים,המרפא 5,עירית ירושלים,ירושלים,220110,634340,אנטנת עוקץ,2018-12-08 00:00:00,30/04/2019,2019-04-04 00:00:00,יש היתר,32.09,3.67,רמה זו צפויה בבתוך המרפא 3 במרחק 28 מטר,http://documents.sviva.gov.il/B001_1_JC1023A_20180812_0806.pdf,http://documents.sviva.gov.il/B002_1_JC1023A_20190430_0804.pdf,
25,פי.אייץ`.איי. נטוורקס,JC1026B,ירושלים,כנפי נשרים,עירית ירושלים,ירושלים,217371,632694,תורן על הגג,2016-04-05 00:00:00,19/07/2016,16/02/2020,יש היתר,60.84,8.03,בבתוך בניין מס` 7 הגובה המחמיר במרחק 30 מטר,http://documents.sviva.gov.il/B001_1_JC1026B_20160727_1150.pdf,http://documents.sviva.gov.il/B002_1_JC1026B_20160719_0824.pdf,
26,פי.אייץ`.איי. נטוורקס,JC1040A,ירושלים,נור אדין 10,עירית ירושלים,ירושלים,222386,632532,תורן על הגג,16/07/2013,24/12/2018,2019-12-12 00:00:00,יש היתר,29.56,3.66,גג,http://documents.sviva.gov.il/B001_1_JC1040A_20130716_0923.pdf,http://documents.sviva.gov.il/B002_1_JC1040A_20181224_1532.pdf,
27,פי.אייץ`.איי. נטוורקס,JC1044B,ירושלים,עמק רפאים 43,עירית ירושלים,ירושלים,220802,629990,אנטנת עוקץ,21/09/2014,2017-12-11 00:00:00,2019-05-11 00:00:00,יש היתר,67.14,7.7,מבנה,http://documents.sviva.gov.il/B001_1_JC1044B_20140921_0835.pdf,http://documents.sviva.gov.il/B002_1_JC1044B_20171112_1558.pdf,30001313
28,פי.אייץ`.איי. נטוורקס,JC1059B,ירושלים,בית חולים הדסה עין כרם,עירית ירושלים,ירושלים,214233,630249,תורן על הגג,2017-02-11 00:00:00,18/12/2017,13/10/2019,יש היתר,43.18,6.31,בקומה עליונה מתחת לגג במרחק 10 מטר,http://documents.sviva.gov.il/B001_1_JC1059B_20170302_0823.pdf,http://documents.sviva.gov.il/B002_1_JC1059B_20171218_0933.pdf,
29,פי.אייץ`.איי. נטוורקס,JC1101F,ירושלים,רח` נעמי קדם פינת חיל הנדסה,עירית ירושלים,ירושלים,221745,632518,תורן קרקעי,2019-07-03 00:00:00,2017-02-03 00:00:00,2019-03-11 00:00:00,יש היתר,28.13,4.23,רמה זו צפויה במבנה 2 מערבי למסגד במרחק 63 מטר,http://documents.sviva.gov.il/B001_1_JC1101F_20190606_1048.pdf,http://documents.sviva.gov.il/B002_1_JC1101F_20170302_0827.pdf,
30,פי.אייץ`.איי. נטוורקס,JC1105C,ירושלים,בנייני האומה ירושלים,עירית ירושלים,ירושלים,219262,632592,תורן על הגג,24/07/2017,18/10/2017,18/09/2019,יש היתר,52.97,6.08,בבחלון מבנה משרדים במתחם מלון קראון פלאז`ה במרחק 37 מטר,http://documents.sviva.gov.il/B001_1_JC1105C_20160124_0742.pdf,http://documents.sviva.gov.il/B002_1_JC1105C_20160807_1529.pdf,
